t,x,v
7.988621319128330356e+01,-1.566833301216739471e+02,2.073089233942246867e-01
8.033501214179614180e+01,-1.565793366867262364e+02,2.545116917087981157e-01
8.078381109230896584e+01,-1.564585605526162340e+02,2.772756251523027515e-01
8.123261004282178988e+01,-1.563379740078336795e+02,2.501054150731348291e-01
8.168140899333462812e+01,-1.562440036033598290e+02,1.568769969118043173e-01
8.213020794384745216e+01,-1.562078823111189365e+02,-7.636560789481210143e-03
8.257900689436027619e+01,-1.562606093904984732e+02,-2.368024229295821736e-01
8.302780584487310023e+01,-1.564267773362132061e+02,-5.075392258393103262e-01
8.347660479538592426e+01,-1.567155393360662572e+02,-7.732279990543932113e-01
8.392540374589876251e+01,-1.571100658313269207e+02,-9.672680461955392994e-01
8.437420269641158654e+01,-1.575643486925400509e+02,-1.033444221826602893e+00
8.482300164692441058e+01,-1.580173554658034334e+02,-9.655957080925384739e-01
8.527180059743724883e+01,-1.584174390559396954e+02,-8.068078988305028565e-01
8.572059954795007286e+01,-1.587355194803287759e+02,-6.066999945943868378e-01
8.616939849846289690e+01,-1.589593711531039446e+02,-3.878730244521885195e-01
8.661819744897572093e+01,-1.590797828820824407e+02,-1.423911816517113016e-01
8.706699639948854497e+01,-1.590791334875412133e+02,1.570789111824093254e-01
8.751579535000138321e+01,-1.589258119207933362e+02,5.427601703641309339e-01
8.796459430051420725e+01,-1.585768434574380876e+02,1.027169940934314019e+00
8.841339325102703128e+01,-1.579971743557069885e+02,1.551353127216822614e+00
8.886219220153986953e+01,-1.572050164887431265e+02,1.936178166298980763e+00
8.931099115205269356e+01,-1.563087190278978653e+02,2.000858928132093428e+00
8.975979010256551760e+01,-1.554471652045623102e+02,1.817945974080820370e+00
9.020858905307834164e+01,-1.546744974917695572e+02,1.647733455780696854e+00
9.065738800359116567e+01,-1.539367067823806678e+02,1.683478133824171774e+00
9.110618695410400392e+01,-1.531223544285903984e+02,1.988867133597805870e+00
9.155498590461682795e+01,-1.521250880918616986e+02,2.459799424508187560e+00
9.200378485512965199e+01,-1.509465751693117852e+02,2.714330041124654702e+00
9.245258380564249023e+01,-1.497756814271434394e+02,2.414260622110220300e+00
9.290138275615531427e+01,-1.488271178423252934e+02,1.798797199842742334e+00
9.335018170666813830e+01,-1.481503284997889978e+02,1.244015152299495330e+00
9.379898065718096234e+01,-1.476835552308272099e+02,8.654322226297485043e-01
9.424777960769378637e+01,-1.473495802503243226e+02,6.469424551106347510e-01
9.469657855820662462e+01,-1.470828092872369268e+02,5.632128523663894049e-01
9.514537750871944866e+01,-1.468249439556251446e+02,6.075891434001748914e-01
9.559417645923227269e+01,-1.465174390796420880e+02,7.853877809819880262e-01
9.604297540974511094e+01,-1.461005687719058415e+02,1.091206814120432522e+00
9.649177436025793497e+01,-1.455271917274389182e+02,1.465542768192291678e+00
9.694057331077075901e+01,-1.447973639467126361e+02,1.756664605641047316e+00
9.738937226128358304e+01,-1.439884044263652072e+02,1.801019843337530624e+00
9.783817121179640708e+01,-1.432161140054522548e+02,1.615833440011526401e+00
9.828697016230924532e+01,-1.425440180700981614e+02,1.389050611867518104e+00
9.873576911282206936e+01,-1.419500355463499375e+02,1.287874021821307613e+00
9.918456806333489340e+01,-1.413566088275976256e+02,1.395281898774249907e+00
9.963336701384773164e+01,-1.406614915009387801e+02,1.741985428327225138e+00
1.000821659643605557e+02,-1.397647993272208282e+02,2.268476057025117232e+00
1.005309649148733797e+02,-1.386422296369753440e+02,2.674382458978354027e+00
1.009797638653862037e+02,-1.374455498329473073e+02,2.559753466727404003e+00
1.014285628158990278e+02,-1.364078966333730136e+02,2.033542009375467252e+00
1.018773617664118660e+02,-1.356175744373389307e+02,1.513799816057560976e+00
1.023261607169246901e+02,-1.350193326139723240e+02,1.187229077619719408e+00
1.027749596674375141e+02,-1.345224201778806332e+02,1.057044518569722591e+00
1.032237586179503523e+02,-1.340466836495357370e+02,1.086079571195308846e+00
1.036725575684631764e+02,-1.335308453561376609e+02,1.225579685039818179e+00
1.041213565189760004e+02,-1.329424509107055883e+02,1.391088131869359978e+00
1.045701554694888245e+02,-1.322972101079870129e+02,1.457244093467629176e+00
