t,x,v
1.391276746589765523e+01,-1.049257062030735028e+02,-1.234238214985334592e+00
1.436156641641048282e+01,-1.056245945868077882e+02,-1.869792312683423274e+00
1.481036536692331040e+01,-1.065721099313304734e+02,-2.288513446325387779e+00
1.525916431743613799e+01,-1.076043602335773528e+02,-2.226279488357809200e+00
1.570796326794896558e+01,-1.085137520767919312e+02,-1.793180510190760746e+00
1.615676221846179317e+01,-1.092080129358144234e+02,-1.312741863702552081e+00
1.660556116897462076e+01,-1.097096486044690948e+02,-9.448437608266493370e-01
1.705436011948744834e+01,-1.100748092522677837e+02,-7.011589170089803646e-01
1.750315907000027593e+01,-1.103539498432023578e+02,-5.578156759902538342e-01
1.795195802051310352e+01,-1.105883105765547185e+02,-5.006455375133540553e-01
1.840075697102593111e+01,-1.108164161402964822e+02,-5.313015252959539803e-01
1.884955592153875870e+01,-1.110800157877078647e+02,-6.608381950408720451e-01
1.929835487205158628e+01,-1.114254045576277719e+02,-8.950840990295529931e-01
1.974715382256441387e+01,-1.118953459785394529e+02,-1.206453004301434095e+00
2.019595277307724146e+01,-1.125058316143562394e+02,-1.498942630028254897e+00
2.064475172359006905e+01,-1.132157758474361060e+02,-1.626989324056864472e+00
2.109355067410289664e+01,-1.139308093871237446e+02,-1.524958762067090801e+00
2.154234962461572422e+01,-1.145644414026319708e+02,-1.289972855389224238e+00
2.199114857512855181e+01,-1.150916695619054479e+02,-1.072358528812069611e+00
2.243994752564137940e+01,-1.155435471491353638e+02,-9.634519301444458561e-01
2.288874647615420699e+01,-1.159779966474002322e+02,-9.980352710464104327e-01
2.333754542666703458e+01,-1.164634114321880816e+02,-1.193241842329755720e+00
2.378634437717986216e+01,-1.170747104081149956e+02,-1.558185908917352869e+00
2.423514332769268975e+01,-1.178797628841821563e+02,-2.034629678558534494e+00
2.468394227820551734e+01,-1.188814357590828621e+02,-2.374769919625589587e+00
2.513274122871834493e+01,-1.199391986401499537e+02,-2.248557281427506549e+00
2.558154017923117252e+01,-1.208343205790692707e+02,-1.695908635899153971e+00
2.603033912974400010e+01,-1.214460268282745830e+02,-1.032423543126247623e+00
2.647913808025682769e+01,-1.217698963687217315e+02,-4.225282675230648821e-01
2.692793703076965528e+01,-1.218330858715444265e+02,1.365919253822873713e-01
2.737673598128248287e+01,-1.216468628705852808e+02,6.980993476280127341e-01
2.782553493179531046e+01,-1.212002449759315965e+02,1.298282669055296434e+00
2.827433388230813804e+01,-1.204836377295055314e+02,1.877337455195885907e+00
2.872313283282096563e+01,-1.195534228225537845e+02,2.199315600419121886e+00
2.917193178333379322e+01,-1.185836821340864873e+02,2.041186259472341558e+00
2.962073073384662081e+01,-1.177745037757671867e+02,1.532095006543285676e+00
3.006952968435944840e+01,-1.172183958624792979e+02,9.494196962195958767e-01
3.051832863487227598e+01,-1.169151810330726988e+02,4.100109185337569295e-01
3.096712758538510357e+01,-1.168459993594740354e+02,-1.012126200001553650e-01
3.141592653589793116e+01,-1.170098966492858636e+02,-6.380142793606300433e-01
3.186472548641075875e+01,-1.174292607042556398e+02,-1.243187560937023317e+00
3.231352443692358634e+01,-1.181312621797649456e+02,-1.877892499254928849e+00
3.276232338743641037e+01,-1.190857786400658966e+02,-2.313896634669655228e+00
3.321112233794924151e+01,-1.201339551223044140e+02,-2.269873992718039801e+00
3.365992128846207265e+01,-1.210641322885740436e+02,-1.840039424619161590e+00
3.410872023897489669e+01,-1.217789388383678926e+02,-1.357875426499347782e+00
3.455751918948772072e+01,-1.223015930445134245e+02,-9.949819045022513242e-01
3.500631814000055186e+01,-1.226923321359727339e+02,-7.668753408296052898e-01
3.545511709051338300e+01,-1.230066024188117240e+02,-6.505984645374092157e-01
3.590391604102620704e+01,-1.232908414339864862e+02,-6.319519039642533809e-01
3.635271499153903108e+01,-1.235882422123967501e+02,-7.096342961510988534e-01
3.680151394205186222e+01,-1.239422151419422704e+02,-8.828749579394407077e-01
3.725031289256469336e+01,-1.243916176080022638e+02,-1.127158571553929400e+00
3.769911184307751739e+01,-1.249533203711276883e+02,-1.365328145040514363e+00
3.814791079359034143e+01,-1.255978969112305350e+02,-1.476490012249013661e+00
3.859670974410317257e+01,-1.262479916121001224e+02,-1.388027318187484038e+00
3.904550869461600371e+01,-1.268217766975867704e+02,-1.154672949048307862e+00
3.949430764512882774e+01,-1.272806984226021996e+02,-8.946925060545014574e-01
3.994310659564165178e+01,-1.276332082712449107e+02,-6.884774239907753834e-01
4.039190554615448292e+01,-1.279102135255378272e+02,-5.583743881579953383e-01
4.084070449666731406e+01,-1.281443997869204452e+02,-4.948622625809645514e-01
4.128950344718013810e+01,-1.283616662754953666e+02,-4.800486101820339857e-01
4.173830239769296213e+01,-1.285803324901649489e+02,-4.991947212542950929e-01
4.218710134820579327e+01,-1.288136707204348852e+02,-5.448724931741172339e-01
4.263590029871862441e+01,-1.290734217052642236e+02,-6.175915670588316697e-01
4.308469924923144845e+01,-1.293730477287834901e+02,-7.239594343461721593e-01
